brand,product_line,shade
Glossier,Lipstick,Cranberry
Glossier,Lipstick,Ember
Glossier,Lipstick,Apricot
Glossier,Lipstick,Pisces
Glossier,Lipstick,Pony
Glossier,Lipstick,Cake
Glossier,Balm Dotcom,Black Cherry
Glossier,Balm Dotcom,Swiss Miss
Glossier,Balm Dotcom,Wild Fig
Glossier,Balm Dotcom,Strawberry
Glossier,Balm Dotcom,Hot Cocoa
Glossier,Balm Dotcom,Birthday
Glossier,Balm Dotcom,Lavender
Glossier,Balm Dotcom,Mango
Glossier,Balm Dotcom,Cookie Butter
Glossier,Balm Dotcom,Coconut
Glossier,Balm Dotcom,Berry
Glossier,Balm Dotcom,Rose
Dior,Lip Glow Oil,Berry
Dior,Lip Glow Oil,Raspberry
Dior,Lip Glow Balm,Berry
CoverGirl,Clean Fresh Yummy Blur Lipstick,
e.l.f.,Squeeze Me Lip Balm,Bubblegum
e.l.f.,Squeeze Me Lip Balm,Cherry
e.l.f.,Hydrating Core Lip Shine,Burgundy
e.l.f.,Glow Reviver Melting Lip Balm,Yummy Gummy
e.l.f.,Glow Reviver Melting Lip Balm,Cotton Candy
e.l.f.,Glow Reviver Melting Lip Balm,Vanilla Toffee
e.l.f.,Glow Reviver Lip Oil (Glimmer Finish),Super Neutral
The Lip Bar,Liquid Lipstick,It Girl
The Lip Bar,Liquid Lipstick,Rich Auntie
The Lip Bar,Liquid Lipstick,Touch Me
The Lip Bar,Liquid Lipstick,Tease Me
MAC Cosmetics,Lipstick,Ruby Woo
MAC Cosmetics,Lipstick,Flat Out Fabulous
MAC Cosmetics,Lipstick,Velvet Teddy
MAC Cosmetics,Lipstick,Chili
MAC Cosmetics,Lipstick,Marrakech
rhode,Peptide Lip Tint,Raspberry Jelly
rhode,Peptide Lip Tint,Guava Spritz
rhode,Peptide Lip Tint,Watermelon Slice
rhode,Peptide Lip Tint,Toast
rhode,Peptide Lip Tint,Espresso
rhode,Peptide Lip Tint,Salted Caramel
L'Oréal Paris,Liquid Lipstick,Wine Not
L'Oréal Paris,Liquid Lipstick,Wedding Night
Live Tinted,Liquid Lipstick,Powerful
Live Tinted,Hue Stick (Lip/Eye/Cheek),Origin
Fenty Beauty,Lip Gloss,Fenty Glow
Kylie Cosmetics,Tinted Butter Balm,That's Tea
Kylie Cosmetics,Lip Gloss,Wildin
Kylie Cosmetics,Lip Gloss,Sweet
Kylie Cosmetics,Lip Gloss,Always Shining
Kylie Cosmetics,Lip Gloss,Yessss Girl
Kylie Cosmetics,Lipstick,Here For It
Kylie Cosmetics,Gloss Drip,Sweet Like Hunny
Kylie Cosmetics,Lip Kit,Better Not Pout
Kylie Cosmetics,Lip Kit,Sister Sister
Kylie Cosmetics,Lip Kit,Valentine
Kylie Cosmetics,Lip Kit,Tipsy
Kylie Cosmetics,Lip Set (matte+liner+gloss),Glow Girl
NARS,Lip Balm,Orgasm
Giorgio Armani Beauty,Lip Power Lipstick,
Ami Colě,Lip Treatment Oil,Excellence
Maybelline New York,SuperStay Matte Ink,Amazonian
Maybelline New York,SuperStay Vinyl Ink,Unrivaled
Maybelline New York,SuperStay Matte Ink,Voyager
ChapStick,Lip Balm,Cotton Candy
ChapStick,Lip Balm,Cotton Candy
ChapStick,Lip Balm,Cotton Candy
ChapStick,Lip Balm,Cotton Candy
